"","X","word","views","prior","likelihood","pword","posterior"
"51",1431,"benny hill",753281,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"52",1438,"vince gill",750271,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"53",1526,"golda meir",690180,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"54",1540,"nolan ryan",684648,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"55",1579,"david soul",660183,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"56",1628,"grant hill",631328,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"57",1655,"niels bohr",616806,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"58",1657,"carol kane",616344,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"59",1683,"lucas till",599912,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"60",1693,"jimmy dean",594085,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"61",1782,"jonas salk",539079,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"62",1804,"ricki lake",527743,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"63",1808,"glenn beck",526691,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"64",1844,"shane west",509278,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"65",1879,"jamie farr",490413,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"66",1956,"larry fine",451216,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"67",1973,"buddy rich",442344,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"68",1985,"paula deen",438251,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"69",2012,"mario puzo",427768,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"70",2020,"linda gray",423816,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"71",2041,"betty ford",417477,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"72",2046,"orson bean",416044,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"73",2063,"perry como",411236,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"74",2064,"laura nyro",411174,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"75",2088,"sammy sosa",399323,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"76",2109,"celia cruz",390169,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"77",2145,"naomi judd",375153,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"78",2173,"irene cara",365318,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"79",2199,"alexa vega",352500,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"80",2269,"artie shaw",326739,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"81",2301,"tommy shaw",318678,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"82",2308,"david lean",316312,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"83",2479,"zeppo marx",262664,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"84",2523,"chico marx",246541,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"85",2535,"jimmy webb",242940,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"86",2586,"pavel bure",227641,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"87",2655,"alger hiss",209181,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"88",2688,"betsy ross",198934,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"89",2750,"brett hull",182694,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"90",2767,"monty hall",177812,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"91",2779,"chuck daly",173608,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"92",2833,"roger mudd",163181,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"93",2836,"gummo marx",162078,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"94",2838,"patti page",160965,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"95",2846,"grant wood",157306,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"96",2850,"duane eddy",156636,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"97",2855,"bobby hull",156337,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"98",2867,"tommy tune",153294,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"99",2908,"vikki carr",139329,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"100",2934,"alice faye",134587,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"101",2985,"annie duke",120670,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"102",3004,"megan gale",115056,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"103",3016,"ogden nash",110767,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"104",3041,"erica jong",105856,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"105",3067,"dizzy dean",99052,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"106",3079,"sally rand",96981,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"107",3140,"peggy cass",82001,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"108",3156,"james agee",78222,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"109",3158,"huntz hall",77520,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"110",3205,"emily post",61453,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"111",3210,"allen funt",60130,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"112",3250,"edith piaf",46930,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"113",3280,"brian lamb",39467,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"114",3315,"peter nero",31647,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"115",3453,"donny most",12651,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"116",3524,"stone cold",7127,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"117",3567,"larry byrd",4993,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
