subj_id,PROLIFIC_PID,nonpretend,judge,pretend,points,bonus
NA,NA,NA,NA,0,NA,NA
NA,NA,NA,NA,30,NA,NA
NA,NA,NA,NA,10,NA,NA
NA,NA,NA,NA,10,NA,NA
NA,NA,NA,NA,10,NA,NA
NA,NA,NA,NA,20,NA,NA
NA,NA,NA,NA,20,NA,NA
NA,NA,NA,NA,30,NA,NA
NA,NA,NA,NA,0,NA,NA
NA,NA,NA,NA,20,NA,NA
NA,NA,NA,NA,0,NA,NA
NA,NA,NA,NA,10,NA,NA
NA,NA,NA,NA,10,NA,NA
NA,NA,NA,NA,0,NA,NA
NA,NA,NA,NA,0,NA,NA
NA,NA,NA,NA,10,NA,NA
NA,NA,NA,NA,10,NA,NA
NA,NA,NA,NA,10,NA,NA
NA,NA,NA,NA,40,NA,NA
NA,NA,NA,NA,10,NA,NA
NA,NA,NA,NA,0,NA,NA
NA,NA,NA,NA,0,NA,NA
NA,NA,NA,NA,10,NA,NA
NA,NA,NA,NA,20,NA,NA
NA,NA,NA,NA,10,NA,NA
NA,NA,NA,NA,10,NA,NA
NA,NA,NA,NA,20,NA,NA
