session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
62c4611859994463a4c0c5d3,60fd6618f9a377f54dcdf318,APPROVED,2022-07-05 16:04:45.057000,2022-07-05 16:23:51.056000,1145.999,35,1386,15,98,2022-07-05 21:29:55.986000,49E292D8,United States,United States,Full-Time,English,United States,Male,Yes
62c46119f8a9258c4c00cce3,5484655ffdf99b07b28f22cc,APPROVED,2022-07-05 16:04:48.054000,2022-07-05 16:51:14.559000,2786.505,74,2143,9,100,2022-07-05 21:29:56.065000,49E292D8,United States,United States,Full-Time,English,United States,Male,No
62c4611b7d5a6afe4d2ac149,614f297777d0d8f5e2a5b354,APPROVED,2022-07-05 16:04:47.661000,2022-07-05 16:27:25.384000,1357.723,65,1638,0,100,2022-07-05 21:29:56.172000,49E292D8,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Male,No
62c461b47f6799a779ad5d60,62b20c0065e9809e66d13fa5,APPROVED,2022-07-05 16:07:34.753000,2022-07-05 16:35:06.982000,1652.229,23,166,1,100,2022-07-05 21:29:56.255000,49E292D8,United States,United States,Full-Time,English,United States,Male,No
62c46c57637525b59fedd1f3,615200800c7a074171c4968d,APPROVED,2022-07-05 16:52:42.392000,2022-07-05 17:18:13.736000,1531.344,55,1243,1,100,2022-07-05 21:29:56.343000,49E292D8,Kenya,United States,Full-Time,English,United States,Female,No
62c46c57f81cc66ccf76a8cd,5a78b8355292b800012284ca,APPROVED,2022-07-05 16:52:46.969000,2022-07-05 17:10:02.551000,1035.582,49,1229,5,100,2022-07-05 21:29:56.428000,49E292D8,United States,United States,Full-Time,English,United States,Female,No
62c46c596183760f88b4e185,5a3bdd2c8d005a0001829f3e,APPROVED,2022-07-05 16:52:41.110000,2022-07-05 16:52:52.350000,11.24,31,2907,2,100,2022-07-05 16:52:52.539000,Manual Completion,United States,United States,Full-Time,English,United States,Male,No
62c46c5bfe08f889ec843801,5f5b0f1be585c32184a4cf35,RETURNED,2022-07-05 16:53:00.087000,2022-07-05 17:50:51.647000,3471.56,28,2498,17,99,,NOCODE,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62c46c5d1449590c08af4ed3,5f49f3262a3d07563d14a7f1,APPROVED,2022-07-05 16:52:50.211000,2022-07-05 17:16:42.965000,1432.754,28,1502,1,100,2022-07-05 21:29:56.529000,49E292D8,United States,United States,DATA EXPIRED,English,United States,Male,No
62c474518889738619dab9d7,5f79bca83a2eb65c0983816d,RETURNED,2022-07-05 17:26:53.866000,,433822.051523,33,1528,4,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62c47451a7a5c7e120b487cb,56210effed6e5a000ac7f3a5,APPROVED,2022-07-05 17:26:50.100000,2022-07-05 17:44:37.361000,1067.261,39,1672,11,99,2022-07-05 21:29:56.615000,49E292D8,United States,United States,Full-Time,English,United States,Male,No
62c47453c9ab57791475a7d3,5a0a03fa074b190001251b3c,RETURNED,2022-07-05 17:36:43.255000,,433232.694602,33,2368,16,97,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62c47453ca702d70eb194346,5f50732850c7c600098593df,APPROVED,2022-07-05 17:26:43.919000,2022-07-05 17:45:36.636000,1132.717,23,1769,4,100,2022-07-05 21:29:56.718000,49E292D8,United States,United States,Full-Time,English,United States,Male,Yes
62c4745536946630c2a2e550,6154973c69da7c97996a19f6,APPROVED,2022-07-05 17:27:09.737000,2022-07-05 17:51:10.155000,1440.418,23,1374,1,100,2022-07-05 21:29:56.853000,49E292D8,United States,United States,Unemployed (and job seeking),English,United States,Female,No
62c474d1f5875388f6b487cd,5f744fb50bfbbd0a01cd5435,APPROVED,2022-07-05 17:29:07.207000,2022-07-05 17:48:31.285000,1164.078,47,2093,2,100,2022-07-05 21:29:56.935000,49E292D8,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Female,No
62c47a168733fa81deb6b527,6276dbebeabfce0b6ad28951,APPROVED,2022-07-05 17:51:18.704000,2022-07-05 18:55:55.227000,3876.523,39,94,0,100,2022-07-05 21:29:57.025000,NOCODE,United States,United States,Full-Time,English,United States,Male,No
62c47c6ef2414d2fd6f3eeda,57d0a0bee3221e00015fe385,APPROVED,2022-07-05 18:01:30.264000,2022-07-05 18:20:12.756000,1122.492,38,3447,3,100,2022-07-05 21:29:57.108000,49E292D8,United States,United States,Full-Time,English,United States,Male,No
